question,option_a,option_b,option_c,option_d,correct_answer,difficulty,topic
"What does pd.read_csv('file.csv') do?","Writes data to a CSV file","Reads data from a CSV file","Deletes a CSV file","Creates an empty DataFrame","B","easy","Pandas Basics"
"Which function displays the first 5 rows of a DataFrame?","df.head()","df.first()","df.top()","df.show()","A","easy","Pandas Basics"
"What does df.shape return?","Column names","Number of rows and columns","Data types","Summary statistics","B","easy","Pandas Basics"
"What is the main advantage of Plotly charts over static charts?","They are faster to create","They are interactive with hover and zoom","They use less computer memory","They work without internet","B","easy","Plotly Basics"
"How do you run a Streamlit app named app.py?","python app.py","run app.py","streamlit run app.py","start app.py","C","easy","Streamlit Basics"
"What does st.title() do in Streamlit?","Creates a button","Displays a large title","Shows a table","Makes a chart","B","easy","Streamlit Basics"
"Which function calculates the average of a column?","df['column'].avg()","df['column'].mean()","df['column'].average()","df['column'].sum()","B","easy","Pandas Statistics"
"What does st.write() do?","Only displays text","Only displays numbers","Displays any text or object","Only displays DataFrames","C","easy","Streamlit Display"
"To filter students with score > 80 which is correct?","df[df['score'] > 80]","df.filter('score' > 80)","df.where(score > 80)","df.select(score > 80)","A","medium","Pandas Filtering"
"How do you combine multiple DataFrames with same columns vertically?","df.merge()","df.join()","pd.concat()","df.append()","C","medium","Pandas Combining"
"In Plotly which parameter adds dots to a line chart?","dots=True","points=True","markers=True","circles=True","C","medium","Plotly Charts"
"What's the correct way to display a Plotly chart in Streamlit?","fig.show()","st.plot(fig)","st.plotly_chart(fig)","st.display(fig)","C","medium","Streamlit Charts"
"Which Streamlit widget creates a dropdown menu?","st.dropdown()","st.select()","st.selectbox()","st.menu()","C","medium","Streamlit Widgets"
"How do you create a slider in Streamlit's sidebar?","st.sidebar.slider()","st.slider(sidebar=True)","st.side.slider()","sidebar.slider()","A","medium","Streamlit Layout"
"What does df.groupby('category')['score'].mean() do?","Calculates mean for each category","Filters by category","Sorts by category","Counts categories","A","medium","Pandas GroupBy"
"How do you add a new calculated column in pandas?","df.add_column()","df.new_column()","df['new_col'] = calculation","df.insert('new_col')","C","medium","Pandas Columns"
"Which chart type is best for showing trends over time?","Bar chart","Pie chart","Line chart","Histogram","C","medium","Plotly Charts"
"What does st.dataframe() create?","A static table","An interactive sortable table","A chart","A text display","B","medium","Streamlit Display"
"To filter with AND condition in pandas, use:","and","&&","&","AND","C","medium+","Pandas Filtering"
"What's the difference between df.iloc[0:3] and df.loc[0:3]?","No difference","iloc excludes 3, loc includes 3","iloc includes 3, loc excludes 3","iloc is faster","B","medium+","Pandas Selection"
"How do you properly filter with multiple conditions?","df[df['score'] > 80 & df['attempts'] < 3]","df[(df['score'] > 80) & (df['attempts'] < 3)]","df[df['score'] > 80 and df['attempts'] < 3]","df.filter(score > 80 & attempts < 3)","B","medium+","Pandas Filtering"
"What does pd.crosstab() create?","A line chart","A frequency table","A scatter plot","A summary statistic","B","medium+","Pandas Analysis"
"In Plotly what does fig.update_layout(template='plotly_white') do?","Changes data","Changes background to white","Adds a title","Removes the chart","B","medium+","Plotly Styling"
"How do you create two equal-width columns in Streamlit?","col1, col2 = st.columns(2)","col1, col2 = st.cols(2)","st.create_columns(2)","st.split(2)","A","medium+","Streamlit Layout"
"Which is the correct way to merge two DataFrames on 'student_id'?","df1.merge(df2, on='student_id')","df1.join(df2, 'student_id')","pd.merge(df1, student_id)","df1.combine(df2)","A","medium+","Pandas Merging"
"What does df['is_correct'].mean() calculate when 'is_correct' is True/False?","Average text length","Success rate (proportion of True values)","Number of correct answers","Standard deviation","B","medium+","Pandas Statistics"
"How do you create tabs in Streamlit?","st.tabs(['Tab1', 'Tab2'])","st.create_tabs(['Tab1', 'Tab2'])","st.tabbed(['Tab1', 'Tab2'])","st.sections(['Tab1', 'Tab2'])","A","medium+","Streamlit Layout"
"In Plotly what's the difference between fig.show() and st.plotly_chart(fig)?","No difference","fig.show() for Jupyter, st.plotly_chart() for Streamlit","fig.show() is faster","st.plotly_chart() has more features","B","medium+","Plotly Display"
"What does df.sort_values('column' ascending=False) do?","Sorts A to Z","Sorts Z to A (descending)","Removes the column","Filters the column","B","medium+","Pandas Sorting"
